Institue,Branch,Quota,Category,Gender,Opening,Closing
"INSTITUTE OF ENGINEERING & TECHNOLOGY, LUCKNOW",Computer Science and Engineering,All India,OPEN,Neutral,30752,30752
"INSTITUTE OF ENGINEERING & TECHNOLOGY, LUCKNOW",Computer Science and Engineering (Artificial Intelligence),All India,OPEN,Neutral,44257,45213
"INSTITUTE OF ENGINEERING & TECHNOLOGY, LUCKNOW",Computer Science and Engineering(Self Finance),All India,OPEN,Neutral,46884,47811
"INSTITUTE OF ENGINEERING & TECHNOLOGY, LUCKNOW",Electronics and Communication Engineering,All India,OPEN,Neutral,52277,53488
"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Computer Science and Engineering,All India,OPEN,Neutral,57233,59421
"INSTITUTE OF ENGINEERING & TECHNOLOGY, LUCKNOW",Electrical Engineering,All India,OPEN,Neutral,62489,64156
"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Computer Science and Engineering,All India,OPEN,Neutral,62659,64106
"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering,All India,OPEN,Neutral,67664,71817
"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Information Technology,All India,OPEN,Neutral,69633,70020
"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Information Technology,All India,OPEN,Neutral,74775,76230
"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electronics Engineering,All India,OPEN,Neutral,82309,84569
"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning),All India,OPEN,Neutral,83244,85466
"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Electronics and Communication Engineering,All India,OPEN,Neutral,84110,85806
"INSTITUTE OF ENGINEERING & TECHNOLOGY, LUCKNOW",Civil Engineering,All India,OPEN,Neutral,88601,88601
"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Data Science),All India,OPEN,Neutral,91461,95566
"INSTITUTE OF ENGINEERING & TECHNOLOGY, LUCKNOW",Chemical Engineering,All India,OPEN,Neutral,93174,94138
"KAMLA NEHRU INSTITUTE OF TECHNOLOGY,SULTANPUR",Electrical Engineering,All India,OPEN,Neutral,94535,99300
"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science and Engineering,All India,OPEN,Neutral,98197,99644
"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Information Technology,All India,OPEN,Neutral,100119,105134
"BUNDELKHAND INSTITUTE OF ENGINEERING & TECHNOLOGY, JHANSI",Electrical Engineering,All India,OPEN,Neutral,100259,105406
